date,rain,day_of_week,temp(f),pressure,count
2017-06-28 09:00:00,True,4,62.0,1021.0,7
2017-06-28 10:00:00,True,4,64.0,1015.0,46
2017-06-28 11:00:00,True,4,67.0,1017.0,33
2017-06-28 12:00:00,True,4,70.0,1016.0,44
2017-06-28 13:00:00,True,4,73.0,1019.0,40
2017-06-28 14:00:00,True,4,75.0,1015.0,35
2017-06-28 15:00:00,True,4,76.0,1015.0,55
2017-06-28 16:00:00,False,4,77.0,1015.0,93
2017-06-28 17:00:00,True,4,77.0,1018.0,118
2017-06-28 17:00:00,True,4,77.0,1018.0,118
2017-06-28 18:00:00,True,4,74.0,1018.0,93
2017-06-28 19:00:00,True,4,72.0,1018.0,35
2017-06-28 19:00:00,False,4,72.0,1018.0,35
2017-06-28 20:00:00,True,4,71.0,1018.0,15
2017-06-28 21:00:00,True,4,67.0,1018.0,8
2017-06-28 22:00:00,False,4,64.0,1014.0,6
2017-06-28 23:00:00,False,4,64.0,1019.0,4
2017-06-29 00:00:00,True,5,62.0,1019.0,2
2017-06-29 05:00:00,True,5,60.0,1020.0,6
2017-06-29 06:00:00,True,5,57.0,1020.0,24
2017-06-29 07:00:00,True,5,63.0,1015.0,63
2017-06-29 08:00:00,False,5,60.0,1020.0,132
2017-06-29 08:00:00,True,5,60.0,1020.0,132
2017-06-29 09:00:00,True,5,61.0,1020.0,113
2017-06-29 10:00:00,True,5,65.0,1019.0,39
2017-06-29 10:00:00,False,5,65.0,1019.0,39
2017-06-29 11:00:00,False,5,65.0,1019.0,44
2017-06-29 11:00:00,True,5,65.0,1019.0,44
2017-06-29 12:00:00,True,5,70.0,1018.0,41
2017-06-29 13:00:00,True,5,73.0,1018.0,43
2017-06-29 13:00:00,True,5,73.0,1018.0,43
2017-06-29 14:00:00,True,5,75.0,1018.0,33
2017-06-29 14:00:00,True,5,75.0,1018.0,33
2017-06-29 15:00:00,True,5,77.0,1018.0,38
2017-06-29 16:00:00,True,5,77.0,1017.0,103
2017-06-29 17:00:00,True,5,76.0,1017.0,145
2017-06-29 18:00:00,True,5,73.0,1018.0,106
2017-06-29 18:00:00,True,5,73.0,1018.0,212
2017-06-29 19:00:00,True,5,72.0,1016.0,42
2017-06-29 19:00:00,True,5,72.0,1016.0,42
2017-06-29 20:00:00,True,5,68.0,1016.0,22
2017-06-29 20:00:00,True,5,68.0,1016.0,22
2017-06-29 21:00:00,True,5,64.0,1017.0,10
2017-06-29 22:00:00,True,5,62.0,1017.0,7
2017-06-29 23:00:00,True,5,60.0,1017.0,6
2017-06-30 00:00:00,True,6,59.0,1017.0,3
2017-06-30 01:00:00,True,6,59.0,1017.0,1
2017-06-30 03:00:00,True,6,57.0,1016.0,2
2017-06-30 03:00:00,True,6,57.0,1016.0,2
2017-06-30 05:00:00,True,6,57.0,1015.0,8
2017-06-30 06:00:00,True,6,57.0,1018.0,22
2017-06-30 07:00:00,True,6,58.0,1016.0,52
2017-06-30 08:00:00,True,6,58.0,1018.0,244
2017-06-30 09:00:00,True,6,60.0,1018.0,204
2017-06-30 10:00:00,True,6,61.0,1018.0,176
2017-06-30 11:00:00,True,6,65.0,1017.0,76
2017-06-30 12:00:00,True,6,69.0,1017.0,47
2017-06-30 13:00:00,True,6,73.0,1016.0,59
2017-06-30 14:00:00,True,6,75.0,1016.0,46
2017-06-30 15:00:00,True,6,76.0,1015.0,70
2017-06-30 15:00:00,False,6,76.0,1015.0,70
2017-06-30 16:00:00,True,6,76.0,1016.0,126
2017-06-30 16:00:00,False,6,76.0,1016.0,126
2017-06-30 17:00:00,False,6,77.0,1013.0,131
2017-06-30 18:00:00,True,6,77.0,1016.0,63
2017-06-30 19:00:00,False,6,74.0,1016.0,45
2017-06-30 20:00:00,False,6,72.0,1016.0,23
2017-06-30 21:00:00,True,6,69.0,1017.0,20
2017-06-30 22:00:00,True,6,65.0,1017.0,9
2017-06-30 23:00:00,True,6,65.0,1018.0,5
2017-07-01 00:00:00,False,7,62.0,1018.0,1
2017-07-01 01:00:00,True,7,61.0,1009.0,1
2017-07-01 02:00:00,True,7,61.0,1017.0,3
2017-07-01 03:00:00,False,7,61.0,1017.0,1
2017-07-01 04:00:00,False,7,60.0,1018.0,1
2017-07-01 05:00:00,False,7,60.0,1019.0,3
2017-07-01 06:00:00,True,7,57.0,1014.0,1
2017-07-01 07:00:00,True,7,59.0,1018.0,5
